,Year,Week,Prediction_ILI_lagwk1,Actual_wk1,Prediction_ILI_lagwk2,Actual_wk2,Prediction_ILI_lagwk3,Actual_wk3,Prediction_ILI_lagwk4,Actual_wk4,Month,Flu_Week
1,2015,40,1.366110074,1.33029,1.41071979,1.41368,1.426070355,1.36882,1.402824368,1.48309,September,1
2,2015,41,1.375936402,1.41368,1.408494473,1.36882,1.568096797,1.48309,1.581010852,1.54494,October,2
3,2015,42,1.430518191,1.36882,1.50428052,1.48309,1.565401555,1.54494,1.741963817,1.62532,October,3
4,2015,43,1.410873689,1.48309,1.534653649,1.54494,1.618923776,1.62532,2.355026908,1.91565,October,4
5,2015,44,1.500108345,1.54494,1.563130644,1.62532,1.530775103,1.91565,2.418162992,1.74368,October,5
6,2015,45,1.609985543,1.62532,1.721587036,1.91565,1.800203073,1.74368,1.9270864,1.83277,November,6
7,2015,46,1.572064243,1.91565,2.087332415,1.74368,1.920119825,1.83277,2.475880971,1.9781,November,7
8,2015,47,1.958221319,1.74368,2.051588907,1.83277,1.85820272,1.9781,2.507015895,2.42502,November,8
9,2015,48,1.668589294,1.83277,1.942110878,1.9781,2.012786539,2.42502,2.509950836,2.42004,November,9
10,2015,49,1.870213968,1.9781,2.062144207,2.42502,2.187769567,2.42004,3.24415675,2.00413,December,10
11,2015,50,1.947981518,2.42502,1.975647341,2.42004,2.55565568,2.00413,3.580133863,2.00081,December,11
12,2015,51,3.106033442,2.42004,2.652052659,2.00413,2.508621424,2.00081,3.689981668,2.1187,December,12
13,2015,52,2.966645003,2.00413,2.891692271,2.00081,2.168021777,2.1187,2.011968141,2.19506,December,13
14,2016,1,2.031350003,2.00081,2.293913448,2.1187,3.680040023,2.19506,4.035926562,2.31324,January,14
15,2016,2,1.877567031,2.1187,2.140387218,2.19506,3.103809881,2.31324,3.84584323,2.69449,January,15
16,2016,3,2.100544199,2.19506,2.152589551,2.31324,1.918110061,2.69449,2.121950334,2.9892,January,16
17,2016,4,2.131889573,2.31324,2.184845777,2.69449,2.755306747,2.9892,3.231219186,3.11793,January,17
18,2016,5,2.159286439,2.69449,2.282455816,2.9892,2.499203736,3.11793,3.538023397,3.33016,February,18
19,2016,6,2.661745463,2.9892,2.22417518,3.11793,2.46241382,3.33016,3.095401128,3.59519,February,19
20,2016,7,3.462340414,3.11793,3.062334886,3.33016,2.301056731,3.59519,2.245621347,3.10588,February,20
21,2016,8,3.304054527,3.33016,2.995563123,3.59519,2.365778629,3.10588,2.039344349,2.80228,February,21
22,2016,9,3.478050287,3.59519,3.191952154,3.10588,2.362366611,2.80228,1.982003278,2.54771,March,22
23,2016,10,3.626484185,3.10588,3.348343646,2.80228,2.508928241,2.54771,1.999572779,2.13869,March,23
24,2016,11,3.276586936,2.80228,3.164251383,2.54771,2.432728855,2.13869,2.182230205,2.06495,March,24
25,2016,12,2.751069361,2.54771,3.354639397,2.13869,3.209221316,2.06495,3.490144882,2.00242,March,25
26,2016,13,2.510023658,2.13869,2.173326614,2.06495,1.996557892,2.00242,1.928929023,1.79787,April,26
27,2016,14,2.211354125,2.06495,2.596378669,2.00242,1.744063949,1.79787,2.522210387,1.62581,April,27
28,2016,15,2.20165316,2.00242,2.654632292,1.79787,1.635309183,1.62581,2.19596893,1.48887,April,28
29,2016,16,1.676127433,1.79787,1.649869579,1.62581,1.487306343,1.48887,1.611672865,1.45832,April,29
30,2016,17,1.660143869,1.62581,1.45089889,1.48887,1.436338152,1.45832,1.506819862,1.4425,May,30
31,2016,18,1.554729153,1.48887,1.468736068,1.45832,1.432834803,1.4425,1.348050537,1.38886,May,31
32,2016,19,1.374208385,1.45832,1.285563045,1.4425,1.246893428,1.38886,1.21860645,1.19484,May,32
33,2016,20,1.376862831,1.4425,1.255700755,1.38886,1.214139083,1.19484,1.178194157,1.13307,May,33